Network,NetworkE,IP,Ir90,Nr90,Ir180,Nr180,d90,d180,Is90,Ns90,Is180,Ns180,IShared90,NShared90,IShared180,NShared180,pIr90,pIr180,pIs90,pIs180,pIShared90,pIShared180,ORs90,RRs90
B,B: Homogeneous size & staff-to-resident ratio,"Beta (5, 266)",10.2759924,783.406676,73.7881245,812.544315,2.82934894,24.4586772,43.1644999,960.868634,94.9024618,964.678198,3,131,15,132,13.1,90.8,44.9,98.4,22.9,113.6,0.498295838,0.509785246
B,B: Homogeneous size & staff-to-resident ratio,"Beta (5, 266)",11.5629614,784.035184,52.7608091,805.384203,3.24602517,18.5873368,43.1742775,960.898749,88.6328172,964.613662,1,131,11,131,14.7,65.5,44.9,91.9,7.6,84,0.163509835,0.169895257
B,B: Homogeneous size & staff-to-resident ratio,"Beta (5, 266)",12.3787728,785.076402,44.0531641,797.61403,4.01184604,12.3765143,43.1734251,960.868518,85.6119417,964.371777,2,131,6,131,15.8,55.2,44.9,88.8,15.3,45.8,0.329550664,0.339786531
B,B: Homogeneous size & staff-to-resident ratio,"Beta (5, 266)",13.9234645,785.608898,93.3502618,811.62414,4.62505474,24.9201172,44.1648448,960.865366,100.686664,964.642585,4,131,25,131,17.7,115,46,104.4,30.5,190.8,0.653742982,0.664315716
B,B: Homogeneous size & staff-to-resident ratio,"Beta (5, 266)",14.0397286,785.539857,127.184203,833.235499,4.46034142,41.8176191,44.1104559,960.860889,120.796998,965.02148,2,131,26,131,17.9,152.6,45.9,125.2,15.3,198.5,0.322218048,0.332565864
B,B: Homogeneous size & staff-to-resident ratio,"Beta (5, 266)",14.2621383,784.964864,44.7262427,802.240572,4.03274754,16.1115956,43.2832398,960.843892,83.169359,964.391792,6,131,15,131,18.2,55.8,45,86.2,45.8,114.5,1.01755117,1.0167473
B,B: Homogeneous size & staff-to-resident ratio,"Beta (5, 266)",14.8202972,785.696799,44.4350351,798.102409,4.66974037,12.6146977,44.1289828,960.885664,87.1129275,964.46847,3,131,8,131,18.9,55.7,45.9,90.3,22.9,61.1,0.486901881,0.498652219
B,B: Homogeneous size & staff-to-resident ratio,"Beta (5, 266)",14.9324618,784.327474,56.9539409,806.936034,3.60784776,20.0123805,43.9261578,960.87341,89.4210519,964.418705,6,131,16,131,19,70.6,45.7,92.7,45.8,122.1,1.001987661,1.001896623
B,B: Homogeneous size & staff-to-resident ratio,"Beta (5, 266)",15.2043481,785.179012,71.6000848,810.511266,4.31578545,23.022009,44.379603,960.878886,94.0016261,964.695013,4,131,16,132,19.4,88.3,46.2,97.4,30.5,121.2,0.650436624,0.661110315
B,B: Homogeneous size & staff-to-resident ratio,"Beta (5, 266)",15.5605899,786.554233,79.6912021,810.172334,5.25139035,22.6327245,43.8710219,960.892425,98.3506271,964.587996,4,131,21,131,19.8,98.4,45.7,102,30.5,160.3,0.658351746,0.668783754
