IP,fShared,Ob90,No_Bank,RR,CI_Log,CI_Log_Lower,CI_Log_Higher,CI_Lower,CI_Higher
0.010,10%,190,11,17.27,0.60,2.25,3.45,9.47,31.52
0.011,10%,333,25,13.32,0.40,2.19,2.99,8.96,19.81
0.013,10%,414,44,9.41,0.30,1.94,2.54,6.98,12.68
0.014,10%,525,71,7.39,0.23,1.77,2.23,5.86,9.32
0.016,10%,553,142,3.89,0.16,1.20,1.52,3.31,4.58
0.017,10%,641,186,3.45,0.14,1.10,1.37,3.00,3.96
0.019,10%,690,266,2.59,0.11,0.84,1.06,2.32,2.90
0.021,10%,749,369,2.03,0.09,0.62,0.80,1.86,2.22
0.023,10%,808,448,1.80,0.08,0.51,0.66,1.67,1.94
0.025,10%,852,555,1.54,0.06,0.37,0.49,1.44,1.63
0.028,10%,887,690,1.29,0.05,0.20,0.30,1.23,1.35
0.034,10%,923,828,1.11,0.03,0.08,0.14,1.08,1.15
