Ratio,fShared,Ob90,No_Bank,RR,CI_Log,CI_Log_Lower,CI_Log_Higher,CI_Lower,CI_Higher
0.77,10%,531,216,2.46,0.13,0.77,1.03,2.16,2.8
0.85,10%,516,163,3.17,0.15,1,1.31,2.72,3.7
0.92,10%,526,155,3.39,0.16,1.07,1.38,2.9,4
1,10%,512,117,4.38,0.18,1.3,1.66,3.65,5.2
1.08,10%,519,99,4.59,0.2,1.33,1.72,3.77,5.6
1.15,10%,537,117,5.24,0.18,1.48,1.84,4.38,6.3
1.23,10%,519,97,5.35,0.2,1.48,1.88,4.39,6.5
1.38,10%,497,66,7.53,0.24,1.78,2.26,5.92,9.6
1.46,10%,545,62,7.56,0.25,1.78,2.27,5.9,9.7
1.54,10%,515,67,7.69,0.24,1.8,2.28,6.05,9.8
1.62,10%,514,68,8.79,0.24,1.94,2.41,6.93,11.1
1.77,10%,526,48,10.96,0.28,2.11,2.68,8.26,14.5
