Network,IP,Compliance ,fShared,Ir90,Nr90,Ir180,Nr180,d90,d180,Is90,Ns90,Is180,Ns180,IShared90,NShared90,IShared180,NShared180,pIr90,pIr180,pIs90,pIs180,pIShared90,pIShared180,ORs90,RRs90
A,Const,0.8,0%,20.70376148,787.4722107,49.03716924,803.722827,6.23380218,16.67581743,53.01818168,1081.058969,104.1861539,1085.474465,0,0,0,0,26.3,61,49,96,0,0,1.59,1.54
A,Const,0.8,0%,30.2935945,790.154077,64.3050915,811.622207,8.38282606,22.0402811,56.3737168,1081.10828,110.36127,1085.52626,0,0,0,0,38.3,79.2,52.1,101.7,0,0,0.87,0.87
A,Const,0.8,0%,13.4190961,785.452321,34.5881171,797.437416,4.45502487,12.0451538,50.4166356,1081.00628,97.7292556,1085.15511,0,0,0,0,17.1,43.4,46.6,90.1,0,0,0.31,0.32
A,Const,0.8,0%,29.4871322,790.632146,56.6122692,809.513744,8.56620028,19.9616779,58.9661241,1081.20399,110.752936,1085.99468,0,0,0,0,37.3,69.9,54.5,102,0,0,0.54,0.56
A,Const,0.8,0%,28.9912484,788.931915,51.7803797,806.87013,7.20255058,18.19067,57.3186345,1081.07333,104.580962,1085.51307,0,0,0,0,36.7,64.2,53,96.3,0,0,0.85,0.86
A,Const,0.8,0%,22.0692692,787.633576,48.6802773,804.341021,6.23850575,16.5771622,53.4880103,1081.08014,101.82965,1085.50409,0,0,0,0,28,60.5,49.5,93.8,0,0,1.24,1.22
A,Const,0.8,0%,17.7096246,787.332975,44.6878268,803.143922,5.73392822,16.2279299,52.112519,1081.03626,104.196088,1085.30573,0,0,0,0,22.5,55.6,48.2,96,0,0,0.3,0.31
A,Const,0.8,0%,24.8659316,789.532192,47.9708578,805.99831,7.8115109,17.5653379,62.1014025,1081.22958,109.852309,1085.9774,0,0,0,0,31.5,59.5,57.4,101.2,0,0,0.51,0.53
A,Const,0.8,0%,24.8924684,789.242247,53.6559792,807.823139,7.64934346,19.0276026,54.3599516,1081.10835,104.781253,1085.45703,0,0,0,0,31.5,66.4,50.3,96.5,0,0,0.59,0.6
A,Const,0.8,0%,22.7398088,788.830455,55.7948069,807.932105,7.00368871,19.217653,56.8973573,1081.20161,108.35717,1085.88998,0,0,0,0,28.8,69.1,52.6,99.8,0,0,0.55,0.57
A,Const,0.8,0%,25.0562818,788.837725,60.9472185,810.107449,7.20714912,21.0949918,53.8901268,1081.08461,115.716544,1085.71391,0,0,0,0,31.8,75.2,49.8,106.6,0,0,1.56,1.52
A,Const,0.8,0%,28.2381751,789.613603,55.2848675,807.175956,7.93171401,18.4530173,56.2378194,1081.0502,108.388725,1085.50869,0,0,0,0,35.8,68.5,52,99.9,0,0,1.18,1.17
A,Const,0.8,0%,22.585194,788.761898,56.4978022,807.860321,6.97653125,18.9863132,53.661748,1081.06829,105.405218,1085.53466,0,0,0,0,28.6,69.9,49.6,97.1,0,0,0.91,0.92
A,Const,0.8,0%,21.6139477,788.19576,45.5096856,803.339078,6.57742695,15.7492418,54.3756045,1081.11573,103.261348,1085.54538,0,0,0,0,27.4,56.7,50.3,95.1,0,0,0.59,0.6
A,Const,0.8,0%,20.6598651,787.291286,46.204849,802.89377,6.0048757,15.9277876,54.2147533,1081.05795,102.12537,1085.36241,0,0,0,0,26.2,57.5,50.1,94.1,0,0,1.22,1.21
A,Const,0.8,0%,26.0418162,789.829266,50.1023529,805.776144,7.93937985,17.1590822,57.7797451,1081.18305,105.572708,1085.85365,0,0,0,0,33,62.2,53.4,97.2,0,0,0,0
A,Const,0.8,0%,26.9151243,790.742173,54.5626025,808.035786,8.80217894,19.0847278,55.436298,1081.14715,105.995115,1085.69009,0,0,0,0,34,67.5,51.3,97.6,0,0,0.58,0.59
A,Const,0.8,0%,30.5339278,789.851982,60.8236566,810.277862,8.15205794,20.6069152,59.8649611,1081.09529,110.942961,1085.77484,0,0,0,0,38.7,75.1,55.4,102.2,0,0,0.81,0.82
A,Const,0.8,0%,22.556925,788.263745,39.3109749,800.620845,6.82396691,13.6999649,53.4904658,1081.05884,100.406956,1085.33214,0,0,0,0,28.6,49.1,49.5,92.5,0,0,0.6,0.61
A,Const,0.8,0%,23.2178567,787.656234,51.8910199,804.726754,6.25480089,16.7972136,55.7581631,1081.03681,105.71257,1085.46177,0,0,0,0,29.5,64.5,51.6,97.4,0,0,0.57,0.59
A,Const,0.8,0%,22.4317383,787.766262,52.3130411,806.922396,6.21858922,18.692967,55.4724026,1081.14087,109.113594,1085.76983,0,0,0,0,28.5,64.8,51.3,100.5,0,0,1.49,1.45
A,Const,0.8,0%,24.1987123,788.481599,49.1492676,803.341812,6.90958317,16.0565442,52.8515098,1081.05376,103.840074,1085.40334,0,0,0,0,30.7,61.2,48.9,95.7,0,0,0.3,0.31
A,Const,0.8,0%,27.9156682,788.991652,56.0477361,808.271789,7.45112567,19.2192094,59.8271392,1081.11837,113.738608,1086.04675,0,0,0,0,35.4,69.3,55.3,104.7,0,0,1.38,1.35
A,Const,0.8,0%,28.4504365,789.122305,55.6166112,806.165,7.55119845,17.9212767,57.5122116,1081.06565,109.382736,1085.59604,0,0,0,0,36.1,69,53.2,100.8,0,0,0,0
A,Const,0.8,0%,21.8908176,787.938485,46.4613945,804.206706,6.56817004,16.628689,55.7532877,1081.0569,106.194806,1085.59851,0,0,0,0,27.8,57.8,51.6,97.8,0,0,0.28,0.29
