IP,Network,Compliance,Bank_staff,Cum_Homes,Ob90,pOb90,CI90,CI90_lower
"Beta (5, 266)",B,80%,0%,1,824,82.4,2.35,80.05
"Beta (5, 266)",B,80%,0%,2,531,53.1,3.08,50.02
"Beta (5, 266)",B,80%,0%,3,234,23.4,2.61,20.79
"Beta (5, 266)",B,80%,0%,4,80,8,1.67,6.33
"Beta (5, 266)",B,80%,0%,5,17,1.7,0.8,0.9
"Beta (5, 266)",B,80%,0%,6,3,0.3,0.34,0
"Beta (5, 266)",B,80%,0%,7,1,0.1,0.19,0
"Beta (5, 266)",B,80%,0%,8,0,0,0,0
"Beta (5, 266)",B,80%,0%,9,0,0,0,0
"Beta (5, 266)",B,80%,0%,10,0,0,0,0
"Beta (5, 266)",B,80%,0%,11,0,0,0,0
"Beta (5, 266)",B,80%,0%,12,0,0,0,0
"Beta (5, 266)",B,80%,5%,1,864,86.4,2.11,84.29
"Beta (5, 266)",B,80%,5%,2,627,62.7,2.98,59.72
"Beta (5, 266)",B,80%,5%,3,383,38.3,3,35.3
"Beta (5, 266)",B,80%,5%,4,201,20.1,2.47,17.63
"Beta (5, 266)",B,80%,5%,5,81,8.1,1.68,6.42
"Beta (5, 266)",B,80%,5%,6,31,3.1,1.07,2.03
"Beta (5, 266)",B,80%,5%,7,15,1.5,0.75,0.75
"Beta (5, 266)",B,80%,5%,8,6,0.6,0.48,0.12
"Beta (5, 266)",B,80%,5%,9,1,0.1,0.19,0
"Beta (5, 266)",B,80%,5%,10,0,0,0,0
"Beta (5, 266)",B,80%,5%,11,0,0,0,0
"Beta (5, 266)",B,80%,5%,12,0,0,0,0
"Beta (5, 266)",B,80%,10%,1,904,90.4,1.82,88.58
"Beta (5, 266)",B,80%,10%,2,697,69.7,2.83,66.87
"Beta (5, 266)",B,80%,10%,3,492,49.2,3.08,46.12
"Beta (5, 266)",B,80%,10%,4,323,32.3,2.88,29.42
"Beta (5, 266)",B,80%,10%,5,182,18.2,2.38,15.82
"Beta (5, 266)",B,80%,10%,6,90,9,1.76,7.24
"Beta (5, 266)",B,80%,10%,7,44,4.4,1.26,3.14
"Beta (5, 266)",B,80%,10%,8,22,2.2,0.9,1.3
"Beta (5, 266)",B,80%,10%,9,9,0.9,0.58,0.32
"Beta (5, 266)",B,80%,10%,10,2,0.2,0.28,0
