Network,IP,pShortage,Ir90,Nr90,Ir180,Nr180,d90,d180,Is90,Ns90,Is180,Ns180,pIr90,pIr180,pIs90,pIs180
A,Const,5%,25.88278927,789.0920087,49.37328442,805.6156301,7.479713234,17.13132697,52.78366661,1021.995475,96.86814873,1026.183183,32.8,61.3,51.6,94.4
A,Const,5%,26.29763361,790.0324271,46.3939941,804.0254003,8.331039276,16.07379295,52.88301009,1022.03258,95.87509421,1026.144837,33.3,57.7,51.7,93.4
A,Const,5%,27.99574549,787.9724576,58.95158252,810.4181085,6.593396705,21.24839746,51.43789844,1021.994978,101.6777938,1026.232215,35.5,72.7,50.3,99.1
A,Const,5%,17.99459503,785.6882718,44.59446167,802.2438846,4.555606621,15.35802707,49.85631755,1021.935122,97.62651826,1026.022349,22.9,55.6,48.8,95.2
A,Const,5%,21.48764489,788.9479371,65.79439281,812.6328481,7.461461366,23.53621967,53.23848374,1022.017221,111.5109818,1026.585398,27.2,81,52.1,108.6
A,Const,5%,34.12598097,790.3812899,62.93633371,812.5086486,8.678021976,22.18532271,57.33934614,1022.059555,105.6963326,1026.549799,43.2,77.5,56.1,103
A,Const,5%,28.35654504,790.5332101,56.43659196,808.3214095,8.745619376,19.41645855,56.04181505,1022.075718,106.9361055,1026.347449,35.9,69.8,54.8,104.2
A,Const,5%,18.70715408,786.6249937,41.93767173,800.905999,5.404423349,14.4712756,48.27474304,1021.956649,95.72670938,1026.033845,23.8,52.4,47.2,93.3
A,Const,5%,27.68433927,789.7542802,50.82655952,806.7945538,8.092863911,18.13629038,57.44334527,1022.064341,103.2267865,1026.584109,35.1,63,56.2,100.6
A,Const,5%,30.61354849,791.2905405,57.54903499,809.8707703,9.258344318,20.07835537,54.51665405,1022.004875,102.4213827,1026.46117,38.7,71.1,53.3,99.8
A,Const,5%,31.44314457,791.0121898,56.27810518,808.8690044,8.90331163,19.11762005,53.37579208,1022.036343,100.2598102,1026.215996,39.8,69.6,52.2,97.7
A,Const,5%,32.32634335,791.0698988,59.42533491,810.6723829,9.543246858,20.99374693,56.83095687,1022.026797,106.0114122,1026.605373,40.9,73.3,55.6,103.3
A,Const,5%,29.77436606,789.7936849,53.18540309,808.169196,7.952052674,18.77104212,53.78486165,1022.04039,99.66923962,1026.34739,37.7,65.8,52.6,97.1
A,Const,5%,19.32416591,787.3125985,43.52058516,802.043273,5.797753575,15.23228671,51.32820859,1022.066854,96.73703178,1026.280427,24.5,54.3,50.2,94.3
A,Const,5%,26.54659311,789.7862486,51.05790024,805.2401199,7.929647091,16.70355322,53.09936324,1022.045757,98.5770628,1026.278117,33.6,63.4,52,96.1
A,Const,5%,13.13108176,784.9277986,37.46707081,797.8866979,3.897657715,12.94164278,46.88297724,1021.97243,94.51295399,1025.851158,16.7,47,45.9,92.1
A,Const,5%,19.22753931,786.9124661,45.97105409,802.7038352,5.680627688,15.81594362,49.66273321,1021.967247,98.28441021,1026.04759,24.4,57.3,48.6,95.8
A,Const,5%,21.00256887,786.9429222,49.14592163,804.2552198,5.769352003,17.22143098,51.61690149,1021.978239,98.74034727,1026.214402,26.7,61.1,50.5,96.2
A,Const,5%,32.56505214,791.5819754,54.58878136,808.8152477,9.552203036,19.15438424,56.90518927,1022.09403,101.6765602,1026.488341,41.1,67.5,55.7,99.1
A,Const,5%,27.93583375,790.0769617,52.61598643,805.7640992,8.191930553,17.41062337,53.35555116,1022.111245,100.7736917,1026.462145,35.4,65.3,52.2,98.2
A,Const,5%,19.79926446,787.3169839,47.00296167,803.4376067,5.970512714,16.18620119,50.87534808,1022.066665,98.59792418,1026.239989,25.1,58.5,49.8,96.1
A,Const,5%,24.27474927,788.0140703,51.74884573,806.2680458,6.403020973,18.10412795,51.36521163,1022.00595,101.0254822,1026.225754,30.8,64.2,50.3,98.4
A,Const,5%,23.18060907,788.0066396,53.02542507,806.4115592,6.614681581,18.31524679,53.50509207,1022.016695,107.9407447,1026.537619,29.4,65.8,52.4,105.2
