IP,Network,pShortage,Cum_Homes,Ob90,pOb90,CI90,CI90_lower
"Beta (5, 266)",A,5%,1,893,89.3,1.92,87.38
"Beta (5, 266)",A,5%,2,619,61.9,3.01,58.89
"Beta (5, 266)",A,5%,3,270,27,2.75,24.25
"Beta (5, 266)",A,5%,4,107,10.7,1.92,8.78
"Beta (5, 266)",A,5%,5,26,2.6,0.99,1.61
"Beta (5, 266)",A,5%,6,6,0.6,0.48,0.12
"Beta (5, 266)",A,5%,7,0,0,0,0
"Beta (5, 266)",A,5%,8,0,0,0,0
"Beta (5, 266)",A,5%,9,0,0,0,0
"Beta (5, 266)",A,5%,10,0,0,0,0
"Beta (5, 266)",A,5%,11,0,0,0,0
"Beta (5, 266)",A,5%,12,0,0,0,0
"Beta (5, 266)",A,10%,1,896,89.6,1.89,87.71
"Beta (5, 266)",A,10%,2,572,57.2,3.07,54.13
"Beta (5, 266)",A,10%,3,300,30,2.84,27.16
"Beta (5, 266)",A,10%,4,95,9.5,1.82,7.68
"Beta (5, 266)",A,10%,5,21,2.1,0.89,1.21
"Beta (5, 266)",A,10%,6,4,0.4,0.39,0.01
"Beta (5, 266)",A,10%,7,1,0.1,0.2,0
"Beta (5, 266)",A,10%,8,0,0,0,0
"Beta (5, 266)",A,10%,9,0,0,0,0
"Beta (5, 266)",A,10%,10,0,0,0,0
"Beta (5, 266)",A,10%,11,0,0,0,0
"Beta (5, 266)",A,10%,12,0,0,0,0
"Beta (5, 266)",A,15%,1,914,91.4,1.74,89.66
"Beta (5, 266)",A,15%,2,640,64,2.98,61.02
"Beta (5, 266)",A,15%,3,341,34.1,2.94,31.16
"Beta (5, 266)",A,15%,4,121,12.1,2.02,10.08
"Beta (5, 266)",A,15%,5,22,2.2,0.91,1.29
"Beta (5, 266)",A,15%,6,2,0.2,0.28,0
"Beta (5, 266)",A,15%,7,0,0,0,0
"Beta (5, 266)",A,15%,8,0,0,0,0
"Beta (5, 266)",A,15%,9,0,0,0,0
"Beta (5, 266)",A,15%,10,0,0,0,0
"Beta (5, 266)",A,15%,11,0,0,0,0
"Beta (5, 266)",A,15%,12,0,0,0,0
"Beta (5, 266)",A,20%,1,921,92.1,1.67,90.43
"Beta (5, 266)",A,20%,2,659,65.9,2.94,62.96
"Beta (5, 266)",A,20%,3,342,34.2,2.94,31.26
"Beta (5, 266)",A,20%,4,149,14.9,2.21,12.69
"Beta (5, 266)",A,20%,5,46,4.6,1.3,3.3
"Beta (5, 266)",A,20%,6,15,1.5,0.75,0.75
"Beta (5, 266)",A,20%,7,1,0.1,0.2,0
"Beta (5, 266)",A,20%,8,0,0,0,0
"Beta (5, 266)",A,20%,9,0,0,0,0
"Beta (5, 266)",A,20%,10,0,0,0,0
"Beta (5, 266)",A,20%,11,0,0,0,0
"Beta (5, 266)",A,20%,12,0,0,0,0
Const,B,5%,1,740,74,2.72,71.28
Const,B,5%,2,356,35.6,2.97,32.63
Const,B,5%,3,104,10.4,1.89,8.51
Const,B,5%,4,25,2.5,0.97,1.53
Const,B,5%,5,6,0.6,0.48,0.12
Const,B,5%,6,0,0,0,0
Const,B,5%,7,0,0,0,0
Const,B,5%,8,0,0,0,0
Const,B,5%,9,0,0,0,0
Const,B,5%,10,0,0,0,0
Const,B,5%,11,0,0,0,0
Const,B,5%,12,0,0,0,0
Const,B,10%,1,760,76,2.65,73.35
Const,B,10%,2,407,40.7,3.04,37.66
Const,B,10%,3,156,15.6,2.25,13.35
Const,B,10%,4,50,5,1.35,3.65
Const,B,10%,5,4,0.4,0.39,0.01
Const,B,10%,6,1,0.1,0.2,0
Const,B,10%,7,1,0.1,0.2,0
Const,B,10%,8,0,0,0,0
Const,B,10%,9,0,0,0,0
Const,B,10%,10,0,0,0,0
Const,B,10%,11,0,0,0,0
Const,B,10%,12,0,0,0,0
Const,B,15%,1,804,80.4,2.46,77.94
Const,B,15%,2,456,45.6,3.09,42.51
Const,B,15%,3,201,20.1,2.48,17.62
Const,B,15%,4,56,5.6,1.43,4.17
Const,B,15%,5,15,1.5,0.75,0.75
Const,B,15%,6,3,0.3,0.34,0
Const,B,15%,7,1,0.1,0.2,0
Const,B,15%,8,0,0,0,0
Const,B,15%,9,0,0,0,0
Const,B,15%,10,0,0,0,0
Const,B,15%,11,0,0,0,0
Const,B,15%,12,0,0,0,0
Const,B,20%,1,853,85.3,2.19,83.11
Const,B,20%,2,535,53.5,3.09,50.41
Const,B,20%,3,235,23.5,2.63,20.87
Const,B,20%,4,71,7.1,1.59,5.51
