Model,Day,Case
ABM,10,5
ABM,10,5
ABM,10,6
ABM,10,4
ABM,10,1
ABM,10,5
ABM,10,3
ABM,10,2
ABM,10,2
ABM,10,6
ABM,10,6
ABM,10,1
ABM,10,8
ABM,10,5
ABM,10,7
ABM,10,5
ABM,10,8
ABM,10,4
ABM,10,5
ABM,10,7
ABM,10,2
ABM,10,4
ABM,10,5
ABM,10,1
ABM,10,10
ABM,10,4
ABM,10,3
ABM,10,4
ABM,10,3
ABM,10,1
ABM,10,4
ABM,10,4
ABM,10,3
ABM,10,4
ABM,10,1
ABM,10,4
ABM,10,5
ABM,10,2
ABM,10,6
ABM,10,3
ABM,10,5
ABM,10,4
ABM,10,2
ABM,10,2
ABM,10,4
ABM,10,1
ABM,10,2
ABM,10,5
ABM,10,1
ABM,10,8
ABM,10,2
ABM,10,5
ABM,10,1
ABM,10,2
ABM,10,2
ABM,10,8
ABM,10,2
ABM,10,3
ABM,10,1
ABM,10,3
ABM,10,6
ABM,10,3
ABM,10,4
ABM,10,4
ABM,10,1
ABM,10,3
ABM,10,2
ABM,10,8
ABM,10,1
ABM,10,6
ABM,10,5
ABM,10,6
ABM,10,6
ABM,10,3
ABM,10,5
ABM,10,4
ABM,10,7
ABM,10,5
ABM,10,1
ABM,10,9
ABM,10,6
ABM,10,9
ABM,10,1
ABM,10,6
ABM,10,9
ABM,10,8
ABM,10,7
ABM,10,8
ABM,10,3
ABM,10,10
ABM,10,3
ABM,10,4
ABM,10,4
ABM,10,1
ABM,10,3
ABM,10,2
ABM,10,11
ABM,10,5
ABM,10,5
ABM,10,6
ABM,10,4
ABM,10,2
ABM,10,2
ABM,10,8
ABM,10,2
ABM,10,4
ABM,10,3
ABM,10,1
ABM,10,1
ABM,10,4
ABM,10,4
ABM,10,4
ABM,10,8
ABM,10,3
ABM,10,9
ABM,10,2
ABM,10,4
ABM,10,4
ABM,10,10
ABM,10,3
ABM,10,3
ABM,10,4
ABM,10,3
ABM,10,3
ABM,10,2
ABM,10,1
ABM,10,5
ABM,10,7
ABM,10,5
ABM,10,11
ABM,10,3
ABM,10,1
ABM,10,3
ABM,10,7
ABM,10,3
ABM,10,1
ABM,10,4
ABM,10,10
ABM,10,14
ABM,10,3
ABM,10,5
ABM,10,4
ABM,10,1
ABM,10,7
ABM,10,1
ABM,10,3
ABM,10,10
ABM,10,3
ABM,10,7
ABM,10,2
ABM,10,3
ABM,10,1
ABM,10,6
ABM,10,4
ABM,10,3
ABM,10,5
ABM,10,10
ABM,10,4
ABM,10,2
ABM,10,1
ABM,10,7
ABM,10,4
ABM,10,5
ABM,10,5
ABM,10,2
ABM,10,10
ABM,10,3
ABM,10,3
ABM,10,4
ABM,10,5
ABM,10,3
ABM,10,2
ABM,10,6
ABM,10,4
ABM,10,8
ABM,10,1
ABM,10,4
ABM,10,5
ABM,10,2
ABM,10,4
ABM,10,6
ABM,10,12
ABM,10,4
ABM,10,2
ABM,10,3
ABM,10,2
ABM,10,4
ABM,10,7
ABM,10,3
ABM,10,2
ABM,10,2
ABM,10,2
ABM,10,5
ABM,10,10
ABM,10,7
ABM,10,2
ABM,10,4
ABM,10,6
ABM,10,1
ABM,10,2
ABM,10,4
ABM,10,1
ABM,10,3
ABM,10,9
ABM,10,10
ABM,10,1
ABM,10,4
ABM,10,11
ABM,10,6
ABM,10,3
ABM,10,7
ABM,10,3
ABM,10,9
ABM,10,4
ABM,10,8
ABM,10,10
ABM,10,10
ABM,10,7
ABM,10,7
ABM,10,2
ABM,10,6
ABM,10,3
ABM,10,1
ABM,10,1
ABM,10,6
ABM,10,3
ABM,10,6
ABM,10,4
ABM,10,5
ABM,10,7
ABM,10,3
ABM,10,6
ABM,10,3
ABM,10,2
ABM,10,8
ABM,10,6
ABM,10,2
ABM,10,2
ABM,10,6
ABM,10,9
ABM,10,13
ABM,10,1
ABM,10,5
ABM,10,2
ABM,10,1
ABM,10,4
ABM,10,4
ABM,10,1
ABM,10,4
ABM,10,4
ABM,10,1
ABM,10,2
ABM,10,11
ABM,10,3
ABM,10,5
ABM,10,2
ABM,10,3
ABM,10,1
ABM,10,5
ABM,10,4
ABM,10,4
ABM,10,4
ABM,10,9
ABM,10,6
ABM,10,2
ABM,10,4
ABM,10,9
ABM,10,2
ABM,10,1
ABM,10,10
ABM,10,7
ABM,10,4
ABM,10,4
ABM,10,4
ABM,10,6
ABM,10,9
ABM,10,6
ABM,10,7
ABM,10,5
ABM,10,1
ABM,10,9
ABM,10,3
ABM,10,4
ABM,10,4
ABM,10,4
ABM,10,4
ABM,10,4
ABM,10,2
ABM,10,6
ABM,10,3
ABM,10,4
ABM,10,5
ABM,10,1
ABM,10,3
ABM,10,6
ABM,10,12
ABM,10,11
ABM,10,6
ABM,10,7
ABM,10,7
ABM,10,10
ABM,10,4
