Model,Day,Case
SD,1,1.06
SD,2,1.148
SD,3,1.277
SD,4,1.482
SD,5,1.792
SD,6,2.203
SD,7,2.708
SD,8,3.299
SD,9,3.951
SD,10,4.457
SD,11,4.837
SD,12,5.309
SD,13,5.862
SD,14,6.49
SD,15,6.853
SD,16,7.367
SD,17,7.766
SD,18,8.044
SD,19,8.408
SD,20,8.833
SD,21,9.29
SD,22,9.759
SD,23,10.212
SD,24,10.444
SD,25,10.485
SD,26,10.555
SD,27,10.651
SD,28,10.765
SD,29,10.884
SD,30,10.992
SD,31,10.922
SD,32,10.703
SD,33,10.522
SD,34,10.378
SD,35,10.263
SD,36,10.168
SD,37,10.079
SD,38,9.862
SD,39,9.539
SD,40,9.26
SD,41,9.024
SD,42,8.825
SD,43,8.654
SD,44,8.498
SD,45,8.251
SD,46,7.929
SD,47,7.65
SD,48,7.415
SD,49,7.217
SD,50,7.048
SD,51,6.897
SD,52,6.678
SD,53,6.403
SD,54,6.168
SD,55,5.971
SD,56,5.808
SD,57,5.671
SD,58,5.551
SD,59,5.377
SD,60,5.158
SD,61,4.974
SD,62,4.821
SD,63,4.697
SD,64,4.596
SD,65,4.51
SD,66,4.378
SD,67,4.208
SD,68,4.066
SD,69,3.952
SD,70,3.861
SD,71,3.789
SD,72,3.729
SD,73,3.63
SD,74,3.497
SD,75,3.388
SD,76,3.302
SD,77,3.236
SD,78,3.185
SD,79,3.145
SD,80,3.069
SD,81,2.964
SD,82,2.879
SD,83,2.813
SD,84,2.764
SD,85,2.728
SD,86,2.7
SD,87,2.641
SD,88,2.556
SD,89,2.487
SD,90,2.436
SD,91,2.398
SD,92,2.373
SD,93,2.354
SD,94,2.307
SD,95,2.236
SD,96,2.18
SD,97,2.138
SD,98,2.109
SD,99,2.09
SD,100,2.078
SD,101,2.039
SD,102,1.979
SD,103,1.932
SD,104,1.898
SD,105,1.875
SD,106,1.861
SD,107,1.853
SD,108,1.82
SD,109,1.769
SD,110,1.729
SD,111,1.7
SD,112,1.682
SD,113,1.671
SD,114,1.666
SD,115,1.639
SD,116,1.593
SD,117,1.559
SD,118,1.535
SD,119,1.52
SD,120,1.512
SD,121,1.509
SD,122,1.485
SD,123,1.446
SD,124,1.416
SD,125,1.395
SD,126,1.383
SD,127,1.377
SD,128,1.375
SD,129,1.355
SD,130,1.32
SD,131,1.293
SD,132,1.276
SD,133,1.266
SD,134,1.261
SD,135,1.261
SD,136,1.243
SD,137,1.212
SD,138,1.188
SD,139,1.173
SD,140,1.165
SD,141,1.162
SD,142,1.162
SD,143,1.147
SD,144,1.118
SD,145,1.097
SD,146,1.084
SD,147,1.077
SD,148,1.075
SD,149,1.076
SD,150,1.063
SD,151,1.037
SD,152,1.018
SD,153,1.007
SD,154,1.001
SD,155,1
SD,156,1.002
SD,157,0.99
SD,158,0.966
SD,159,0.949
SD,160,0.939
SD,161,0.934
SD,162,0.934
SD,163,0.936
SD,164,0.926
SD,165,0.904
